term,type,description
Gravity-Tech,Technology,Core tech for gravity manipulation and control
Wave Manipulation,Technology,Control of various wave types and frequencies
Spacedrive,Propulsion,Advanced gravity-based propulsion system
Directed Gravity Device,Device,Precision gravity manipulation tool
Gravimancy,Magic System,Fusion of gravity-tech and magical principles
Spinjack,Technology,Kinetic energy storage and manipulation system
Turnstile,Propulsion,Angular momentum-based propulsion
Ionocaloric,Technology,Temperature control through ion cycling
Caboodler,System,Modular utility framework
Rail Grindstone,Device,Momentum storage and energy generation
Cubeport,Structure,Multi-faced spaceport with themed sections
Oceth,Location,Ancient continent with ruins and settlements
Drush Syndicate,Faction,Technology-focused faction
Lokex Frame,Faction,Advanced engineering specialists
Feap Wardens,Faction,Environmental and thermal tech masters
The Shrow,Faction,Mysterious faction with advanced capabilities
Nethbound,Faction,Magic-tech fusion practitioners
United Systems,Faction,Primary governing body
Devast Core,Device,Volatile gravitational singularity generator
Devast Beacon,Weapon,Resonance weapon that disassembles constructs
Devast Node,Device,Neural uplink for AI cluster override
Devast Shard,Material,Fractured crystal for magic/tech hybrids
Devast Engine,Propulsion,Hyperspin engine using controlled entropy
Devast Mantle,Defense,Space-folding defensive module
Devast Pulse Array,Weapon,Energy weapon feeding on momentum and heat
Order of the Devast,Faction,Lost techno-religious order of spacetime manipulators
Devast Ark,Ship-Faction,Nomadic believers in recursive annihilation
House Devast,Faction,Elite Oceth aristocracy with forbidden tech
The Devast Choir,Faction,Sonic warfare specialists using resonance
Devast Reach,Location,Orbital belt with broken satellites and whisper storms
Devast Vale,Location,Crater region on Oceth with war artifacts
Devast Citadel,Structure,Abandoned black cube tower orbiting dead star
Devast Trench,Location,Continental scar with magnetic fog
Neth,Dimension,Dark net dimension or base-world region
Geeth,Currency,Organic AI race currency
Shrow,Material,Mist-based stealth technology
Tast,Consumable,Light combat drug for speed
Scaen,Technology,Memory-record scene or illusion zone tech
Tuemorrow,Concept,Next reality layer or daily reset mechanic
Merse,Currency,Liquid-world currency system
Sterick,Enemy Type,Rare enemy class designation
Synce,Mechanic,Synchronization for ghost mirroring and revival
Evision,Ability,Advanced vision mode for upgrades and hacking
Critle,Companion,Pet system or minor currency class
Zern,Currency,Primary currency or system state indicator
Feap,Mod Type,Modification slot or action verb
Stique,Weapon,Advanced weapon or fashion system
Starecrow,Enemy,Mid-tier boss enemy type
Trip,Movement,Movement ability or short loop event
Hant,Technology,Ghost signal or memory echo tech
Uncollapser,Technology,Glitch-stable dimension tech
Shelse,Location,Side-zone or substrate region
Lokex Chip,Device,Advanced door/hack/lock mechanism
Struct,System,Building or upgrade framework
Grush,Action,Movement or attack verb system
Orior,Language,Ancient language or noble faction root
Giss,System,Information broker or intelligence slang
Campoors,Arena,Foggy dystopian playable arena region
Fashing,Culture,Fashion and tech fusion slang
Bleck,Effect,Impact or transformation sound effect
Honjunitai,Faction,Specialized faction offshoot
Resonator,Device,Harmonic frequency matching tool
Magitek Core,Component,Magic and technology energy integration core
Gravitic Field Generator,Device,Gravitational field manipulation system
Thermal Regulator,Device,Precise thermal energy control system
Harmonic Blade,Weapon,Frequency-resonating weapon
Arcane Plate,Armor,Magic-enhanced tech armor
Gravitic Manipulator,Tool,Basic gravity manipulation tool
Spinjack Core,Implant,Spinal kinetic energy storage implant
Turnstile Drive,Propulsion,Asymmetrical resonance field propulsion
Ionocaloric Mesh,Material,Ion-cycling thermal control mesh
Modular Caboodler,System,Versatile utility with swappable modules
Heat Sink Pack,Consumable,Emergency thermal management disposables
Foundational Gravity-Tech Principles,Data,Core gravity manipulation knowledge module
Foundational Wave Manipulation Theory,Data,Wave spectrum manipulation theory archive
Devasting,Adjective,Descriptor for exotic Devast phenomena
Phase Gate Anchor,Device,Teleport pad using partial dematerialization
TesserFrame Storage,System,Non-Euclidean phase storage inventory
HalfMatter Lock,Security,Phase-state dependent security door
Phase Snare,Trap,Semi-materialization immobilization trap
Flicker Blade,Weapon,Phase-shifting armor-bypassing melee weapon
Ghostshell Rounds,Ammunition,Projectiles that rematerialize inside targets
Phantom Cloak,Equipment,Selective dematerialization stealth garment
Phase Drift Harness,Equipment,Short-range solid object traversal gear
Aether Lung,Augment,Toxin-dematerializing breathing implant
Shiftstep Boots,Equipment,Impact-phasing silent movement footwear
Void Harpoon,Tool,Phase-through grapple device
Tunnel Phase Emitter,Device,Temporary phased terrain tunnel creator
Phase Sync Node,Device,Multi-entity materialization synchronizer
Adaptive Dematerializer,Device,AI-controlled custom phasing unit
Phase Residue Scanner,Tool,Phase signature detection scanner
Inverse Tethering Core,Device,Phased object realspace anchor
NeuroLure,Fishing Tool,Bio-signal aquatic fauna attractor
Quantum Linecaster,Fishing Tool,Entangled hook fishing system
Tideformer Net,Fishing Tool,Energy grid marine corralling net
Sonar Veil,Fishing Tool,False prey school sonar projector
CryoBait Pod,Fishing Tool,Timed-release frozen micro-prey pellet
SmartSnare,Trap,Auto-adjusting terrain trap
Phase Trap,Trap,Rematerialization spring-load trap
Graviton Pitfall,Trap,Localized gravity immobilization trap
Lure Beacon,Trap,Pheromone and sound fauna attractor
Mimic Drone,Trap,Behavior-mimicking camouflaged drone
HydroMesh Array,Hybrid Tool,AI-driven autonomous aquatic trap grid
EcoHarvester Bloom,Hybrid Tool,Non-lethal flower-like harvesting drones
Tectonic Lure Spike,Hybrid Tool,Vibration system for burrowed creatures
Facilitenns,System,Modular facility-building infrastructure units
Facilitens,Interface,Operations visualization perspective system
Brightclear,Technology,Transparency-focused clarity system
Occeths,Entity,Hidden system tenders or sensory architects
Occthys,Entity,Mythic biointerface flow organizers
Ocethsys,System,Perceptional layer governance framework
Oxeptus,Entity,Arcane signal decoder being
Oculiths,Structure,Crystalline vision runestones
Nexon,System,Connection network node system
Nexn,System,Simplified network connection
Mai,Entity,Concentrated essence being
Skål,Currency,Bowl or cup-based currency
Jatter-X,Currency,Experimental cross-system currency
Nosora,Location,Mysterious region or settlement
Kyron,Currency,High-value rare currency
Kork,Material,Cork-like protective insulation
Korthen,Location,Fortress stronghold settlement
Eroseddies,Phenomenon,Erosion-based energy currents
Butterup,Consumable,Enhancement boost item
Narsit,Tool,Precision measurement instrument
Floormasters,Faction,Ground-level territorial control faction
Nairekereth,Location,Ancient mystical place
Narsetter,Tool,Configuration calibration device
Narsitter,Entity,Precision system guardian
Repetor,System,Duplication and repetition system
Repetar,System,Advanced repetition variant
Repter,System,Simplified repetition system
Anaignam,Concept,Reversed or inverted principle
XenoD,Faction,Alien faction designation
Donex,System,Exchange transaction system
Donice,System,Beneficial exchange variant
Donix,System,Technical exchange system
Donicks,System,Multiple exchange system
Donichts,System,Shadow exchange system
Ochts,Location,Settlement or outpost
Ox,Creature,Simple beast of burden
Octs,System,Eight-based octagonal system
Recordation,System,Documentation recording system
Recorddator,Tool,Advanced recording archivist device
